box_pos_x,box_pos_y,box_pos_z,change_pos,collisions,energy,pos_x,pos_y,pos_z,t,vel_x,vel_y,vel_z
5.650572558283826e-09,-8.473921865140826e-09,-1.647399595135106e-08,3.3358796632015236e-09,6,3.691008504249732e-21,5.650572558283826e-09,-8.473921865140826e-09,-1.647399595135106e-08,2.7e-10,-162.90551420185005,169.33299805439552,-236.78906327395282
4.021517416265325e-09,-6.780591884596871e-09,-1.8841886584090588e-08,3.3358796632015236e-09,6,3.691008504249732e-21,4.021517416265325e-09,-6.780591884596871e-09,-1.8841886584090588e-08,2.7999999999999996e-10,-162.90551420185005,169.33299805439552,-236.78906327395282
2.3924622742468245e-09,-5.087261904052916e-09,-2.1209777216830116e-08,3.3358796632015236e-09,6,3.691008504249732e-21,2.3924622742468245e-09,-5.087261904052916e-09,-2.1209777216830116e-08,2.9e-10,-162.90551420185005,169.33299805439552,-236.78906327395282
7.634071322283241e-10,-3.3939319235089605e-09,-2.3577667849569643e-08,3.3358796632015236e-09,6,3.691008504249732e-21,7.634071322283241e-10,-3.3939319235089605e-09,-2.3577667849569643e-08,3e-10,-162.90551420185005,169.33299805439552,-236.78906327395282
-8.656480097901764e-10,-1.7006019429650054e-09,-2.594555848230917e-08,3.3358796632015236e-09,7,3.691008504249732e-21,-8.656480097901764e-10,-1.7006019429650054e-09,-2.594555848230917e-08,3.0999999999999996e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-1.5637288549018512e-09,-3.3796517660772252e-09,-2.8029326179527244e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-1.5637288549018512e-09,-3.3796517660772252e-09,-2.8029326179527244e-08,3.2e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-2.261809700013526e-09,-5.058701589189445e-09,-3.011309387674532e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-2.261809700013526e-09,-5.058701589189445e-09,-3.011309387674532e-08,3.3e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-2.959890545125201e-09,-6.737751412301665e-09,-3.2196861573963394e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-2.959890545125201e-09,-6.737751412301665e-09,-3.2196861573963394e-08,3.3999999999999996e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-3.6579713902368757e-09,-8.416801235413885e-09,-3.428062927118147e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-3.6579713902368757e-09,-8.416801235413885e-09,-3.428062927118147e-08,3.5e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-4.3560522353485505e-09,-1.0095851058526104e-08,-3.636439696839954e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-4.3560522353485505e-09,-1.0095851058526104e-08,-3.636439696839954e-08,3.6e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-5.054133080460225e-09,-1.1774900881638324e-08,-3.8448164665617615e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-5.054133080460225e-09,-1.1774900881638324e-08,-3.8448164665617615e-08,3.6999999999999996e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-5.752213925571899e-09,-1.3453950704750543e-08,-4.053193236283569e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-5.752213925571899e-09,-1.3453950704750543e-08,-4.053193236283569e-08,3.8e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-6.450294770683574e-09,-1.5133000527862764e-08,-4.261570006005376e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-6.450294770683574e-09,-1.5133000527862764e-08,-4.261570006005376e-08,3.9e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
