pos_x,pos_y,pos_z,box_pos_x,box_pos_y,box_pos_z,vel_x,vel_y,vel_z,t,change_pos,energy,collisions
-2.5664259730604576e-07,-3.625128517143726e-08,8.506042166876039e-08,4.335740269395404e-08,1.3748714828562746e-08,3.506042166876044e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.5399999999999999e-09,5.327267305387042e-09,9.413112996685406e-21,10
-2.569959083718699e-07,-3.5845227485365e-08,8.212326004336728e-08,4.3004091628129906e-08,1.4154772514635007e-08,3.212326004336734e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.5499999999999998e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.57349219437694e-07,-3.5439169799292736e-08,7.918609841797418e-08,4.265078056230577e-08,1.4560830200707269e-08,2.9186098417974237e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.56e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.577025305035181e-07,-3.5033112113220475e-08,7.624893679258108e-08,4.229746949648164e-08,1.496688788677953e-08,2.6248936792581135e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.57e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.580558415693422e-07,-3.4627054427148214e-08,7.331177516718798e-08,4.19441584306575e-08,1.537294557285179e-08,2.3311775167188033e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.58e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.5840915263516633e-07,-3.422099674107595e-08,7.037461354179488e-08,4.159084736483337e-08,1.5779003258924052e-08,2.037461354179493e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.5899999999999999e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.5876246370099045e-07,-3.381493905500369e-08,6.743745191640177e-08,4.1237536299009234e-08,1.6185060944996313e-08,1.743745191640183e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.5999999999999999e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.5911577476681456e-07,-3.340888136893143e-08,6.450029029100867e-08,4.08842252331851e-08,1.6591118631068574e-08,1.450029029100873e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.6099999999999998e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.594690858326387e-07,-3.300282368285917e-08,6.156312866561557e-08,4.0530914167360965e-08,1.6997176317140835e-08,1.156312866561563e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.62e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.598223968984628e-07,-3.259676599678691e-08,5.862596704022247e-08,4.017760310153683e-08,1.7403234003213096e-08,8.625967040222529e-09,-35.33110658241362,40.60576860722609,-293.71616253931006,1.63e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.601757079642869e-07,-3.219070831071465e-08,5.568880541482937e-08,3.9824292035712696e-08,1.7809291689285357e-08,5.688805414829429e-09,-35.33110658241362,40.60576860722609,-293.71616253931006,1.64e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.60529019030111e-07,-3.1784650624642386e-08,5.2751643789436265e-08,3.947098096988856e-08,1.8215349375357618e-08,2.7516437894363285e-09,-35.33110658241362,40.60576860722609,-293.71616253931006,1.6499999999999999e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.6088233009593514e-07,-3.1378592938570125e-08,4.9814482164043164e-08,3.911766990406443e-08,1.862140706142988e-08,-1.8551783595677207e-10,-35.33110658241362,40.60576860722609,-293.71616253931006,1.6599999999999999e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.6123564116175925e-07,-3.0972535252497864e-08,4.687732053865006e-08,3.876435883824029e-08,1.902746474750214e-08,-3.1226794613498726e-09,-35.33110658241362,40.60576860722609,-293.71616253931006,1.6699999999999998e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.6158895222758337e-07,-3.05664775664256e-08,4.394015891325696e-08,3.841104777241616e-08,1.94335224335744e-08,-6.059841086742973e-09,-35.33110658241362,40.60576860722609,-293.71616253931006,1.68e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.619422632934075e-07,-3.016041988035334e-08,4.100299728786386e-08,3.8057736706592023e-08,1.9839580119646662e-08,-8.997002712136073e-09,-35.33110658241362,40.60576860722609,-293.71616253931006,1.69e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.622955743592316e-07,-2.975436219428108e-08,3.8065835662470756e-08,3.770442564076789e-08,2.0245637805718923e-08,-1.1934164337529173e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.7e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.626488854250557e-07,-2.934830450820882e-08,3.5128674037077655e-08,3.7351114574943754e-08,2.0651695491791184e-08,-1.4871325962922274e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.7099999999999999e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.630021964908798e-07,-2.894224682213656e-08,3.219151241168455e-08,3.699780350911962e-08,2.1057753177863446e-08,-1.7808487588315375e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.7199999999999999e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.6335550755670394e-07,-2.8536189136064298e-08,2.925435078629145e-08,3.6644492443295485e-08,2.1463810863935707e-08,-2.0745649213708477e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.7299999999999998e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.6370881862252805e-07,-2.8130131449992037e-08,2.631718916089835e-08,3.629118137747135e-08,2.1869868550007968e-08,-2.368281083910158e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.74e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.6406212968835217e-07,-2.7724073763919776e-08,2.3380027535505248e-08,3.5937870311647216e-08,2.227592623608023e-08,-2.661997246449468e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.75e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.644154407541763e-07,-2.7318016077847515e-08,2.0442865910112146e-08,3.558455924582308e-08,2.268198392215249e-08,-2.9557134089887782e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.76e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.647687518200004e-07,-2.6911958391775254e-08,1.7505704284719044e-08,3.523124817999895e-08,2.308804160822475e-08,-3.249429571528088e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.7699999999999999e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.651220628858245e-07,-2.6505900705702992e-08,1.4568542659325944e-08,3.487793711417481e-08,2.3494099294297012e-08,-3.543145734067398e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.7799999999999999e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.654753739516486e-07,-2.609984301963073e-08,1.1631381033932844e-08,3.452462604835068e-08,2.3900156980369273e-08,-3.8368618966067085e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.7899999999999998e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.6582868501747274e-07,-2.569378533355847e-08,8.694219408539744e-09,3.4171314982526544e-08,2.4306214666441534e-08,-4.1305780591460186e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.8e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.6618199608329686e-07,-2.528772764748621e-08,5.7570577831466434e-09,3.381800391670241e-08,2.4712272352513795e-08,-4.424294221685329e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.81e-09,2.986072666117485e-09,2.957501942336916e-21,10
