box_pos_x,box_pos_y,box_pos_z,change_pos,collisions,energy,pos_x,pos_y,pos_z,t,vel_x,vel_y,vel_z
-3.648720387885592e-08,2.282708646937114e-08,1.3065250968444868e-08,5.381437245396076e-09,437,9.605519428516154e-21,4.135127961211482e-07,7.282708646936976e-08,-7.369347490315541e-07,5.206e-08,4.596712163503231,-109.03323443671772,526.9623253012636
-3.6441236757220883e-08,2.1736754125003963e-08,1.8334874221457503e-08,5.381437245396076e-09,438,9.605519428516154e-21,4.135587632427832e-07,7.173675412500258e-08,-7.316651257785415e-07,5.2069999999999996e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.671494401475562e-08,2.120013359727992e-08,2.0058837969452044e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.132850559852485e-07,7.120013359727853e-08,-7.29941162030547e-07,5.2079999999999994e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.698865127229036e-08,2.0663513069555877e-08,2.1782801717446584e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.1301134872771373e-07,7.066351306955448e-08,-7.282171982825525e-07,5.209e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.72623585298251e-08,2.0126892541831833e-08,2.3506765465441125e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.12737641470179e-07,7.012689254183043e-08,-7.26493234534558e-07,5.2099999999999997e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.753606578735984e-08,1.959027201410779e-08,2.5230729213435666e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.1246393421264424e-07,6.959027201410638e-08,-7.247692707865635e-07,5.2109999999999995e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.7809773044894575e-08,1.9053651486383746e-08,2.6954692961430206e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.121902269551095e-07,6.905365148638233e-08,-7.23045307038569e-07,5.212e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.8083480302429314e-08,1.8517030958659703e-08,2.8678656709424747e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.1191651969757475e-07,6.851703095865828e-08,-7.213213432905746e-07,5.213e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.835718755996405e-08,1.798041043093566e-08,3.040262045741929e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.1164281244004e-07,6.798041043093423e-08,-7.195973795425801e-07,5.2139999999999996e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.863089481749879e-08,1.7443789903211616e-08,3.212658420541383e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.1136910518250526e-07,6.744378990321018e-08,-7.178734157945856e-07,5.2149999999999994e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.890460207503353e-08,1.6907169375487573e-08,3.385054795340837e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.110953979249705e-07,6.690716937548613e-08,-7.161494520465911e-07,5.216e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.917830933256827e-08,1.637054884776353e-08,3.557451170140291e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.1082169066743577e-07,6.637054884776208e-08,-7.144254882985966e-07,5.2169999999999997e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.9452016590103006e-08,1.5833928320039486e-08,3.729847544939745e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.10547983409901e-07,6.583392832003803e-08,-7.127015245506021e-07,5.2179999999999995e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.9725723847637744e-08,1.5297307792315443e-08,3.902243919739199e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.102742761523663e-07,6.529730779231398e-08,-7.109775608026076e-07,5.219e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-3.999943110517248e-08,1.47606872645914e-08,4.074640294538653e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.1000056889483153e-07,6.476068726458993e-08,-7.092535970546131e-07,5.22e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-4.027313836270722e-08,1.4224066736867356e-08,4.247036669338107e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.097268616372968e-07,6.422406673686588e-08,-7.075296333066186e-07,5.2209999999999996e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-4.054684562024196e-08,1.3687446209143312e-08,4.419433044137561e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.0945315437976204e-07,6.368744620914183e-08,-7.058056695586242e-07,5.2219999999999994e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-4.08205528777767e-08,1.3150825681419269e-08,4.591829418937015e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.091794471222273e-07,6.315082568141778e-08,-7.040817058106297e-07,5.223e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-4.1094260135311436e-08,1.2614205153695226e-08,4.764225793736469e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.0890573986469255e-07,6.261420515369373e-08,-7.023577420626352e-07,5.2239999999999997e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-4.1367967392846175e-08,1.2077584625971182e-08,4.9366221685359234e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.086320326071578e-07,6.207758462596968e-08,-7.006337783146407e-07,5.2249999999999995e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-4.164167465038091e-08,1.1540964098247139e-08,5.1090185433353774e-08,1.8261785942238503e-09,438,1.106141763954167e-21,4.0835832534962306e-07,6.154096409824563e-08,-6.989098145666462e-07,5.226e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-4.191538190791565e-08,1.1004343570523095e-08,2.8141491813483155e-09,1.8261785942238503e-09,438,1.106141763954167e-21,4.080846180920883e-07,6.100434357052158e-08,-6.971858508186517e-07,5.227e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-4.218908916545039e-08,1.0467723042799052e-08,4.538112929342854e-09,1.8261785942238503e-09,438,1.106141763954167e-21,4.078109108345536e-07,6.046772304279753e-08,-6.954618870706572e-07,5.2279999999999996e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
-4.246279642298513e-08,9.931102515075009e-09,6.262076677337393e-09,1.8261785942238503e-09,438,1.106141763954167e-21,4.0753720357701883e-07,5.993110251507348e-08,-6.937379233226627e-07,5.2289999999999994e-08,-27.370725753473778,-53.66205277240441,172.39637479945392
